stop_name,stop_id,stop_lat,stop_lon
Mallohallipalya,4o9,13.23028,77.45657
Malluru,1l0,13.01018,77.29271
Malluru,4a9,13.01021,77.29272
Managal,1gy,12.91242,77.20468
Managal,4eq,12.91253,77.20471
Managanahalli Kankapura Road,3nt,12.72776,77.4684
Managanahalli Kankapura Road,kp,12.7278,77.46839
Manasa Nagara,2jd,12.95925,77.51674
Manasa Nagara,3uq,12.95881,77.51683
Manchanabele,16e,12.86702,77.33441
Manchanabele,3ux,12.86714,77.33456
Manchanabele Dam Cross,4i7,12.87151,77.33964
Manchanabele Dam Cross,xc,12.87149,77.3397
Manchanabele School,1sx,12.87008,77.33715
Manchanahalli,3n5,12.76671,77.75353
Manchanahalli Cross,676,12.77514,77.7701
Manchanayakanahalli Gate,120,12.83455,77.41472
Manchanayakanahalli Gate,1zg,12.83476,77.41421
Manchanayakanahalli Gate,47o,12.83494,77.41386
Manchappanahalli Gate,2m2,13.13527,77.72547
Manchappanahalli Gate,3g2,13.14368,77.7293
Manchappanahalli Gate,42u,13.13515,77.72619
Manchappanahalli Gate 1,1cd,13.14371,77.72931
Manchappanahalli Village,345,13.14165,77.72624
Manchappanahalli Village,5ww,13.14161,77.72624
Manchenahalli,1nc,13.03502,77.3578
Manchenahalli,98,13.03508,77.35781
Mandigere,12i,13.16464,77.36964
Mandur,3c3,13.08181,77.73841
Mandur,3m4,13.08176,77.73835
Mangammanapalya,5wi,12.90725,77.63505
Manganahalli,1ee,12.95415,77.46935
Manganahalli,47q,12.95419,77.46934
Manganahalli Cross,2ku,12.95265,77.48418
Manganahalli Cross,5k8,12.9527,77.48407
Maniksha Parade Ground,4br,12.97773,77.60747
Maniksha Parade Ground,59a,12.97746,77.60771
Manipal Centre,22,12.97493,77.61436
Manipal Centre,2z4,12.97585,77.61452
Manipal Centre MG Road,543,12.97571,77.61358
Manipal Centre MG Road,zm,12.97552,77.61356
Manjunatha Kalyana Mantapa,23p,12.87459,77.53825
Manjunatha Kalyana Mantapa,3o1,12.87474,77.53819
Manjunatha Nagara,1oq,12.99548,77.55068
Manjunatha Nagara,1u2,12.99593,77.55068
Manjunatha Nagara,2x1,12.96431,77.40379
Manjunatha Nagara,36s,12.96434,77.40362
Manjunatha Nagara,3su,12.99145,77.54288
Manjunatha Nagara,4i9,12.98212,77.48112
Manjunatha Nagara,62x,12.99156,77.54296
Manjunatha Nagara,7p,12.98205,77.4811
Manjushree Hospital,5qq,13.02134,77.60708
Manorayanapalya,3ab,13.02903,77.60169
Manorayanapalya,3ui,13.02889,77.60169
Mantanakurchi,2e9,13.04352,77.38411
Mantanakurchi,2kt,13.0443,77.38459
Mantapa Cross,42j,12.80306,77.59614
Mantapa Cross,56r,12.80281,77.59627
Mantri Alpyne Apartment,35s,12.90453,77.52725
Mantri Alpyne Apartment,4nl,12.90449,77.5271
Mantri Layout,2c4,13.08448,77.4478
Mantri Layout,3oy,13.08449,77.44776
Manuvana,3xw,12.97431,77.54454
Manuvana,420,12.97401,77.54656
Manyatha Tech Park,2x6,13.04109,77.61995
Manyatha Tech Park,59x,13.0412,77.62095
Maragondanahalli,108,13.0372,77.69297
Maragondanahalli,10c,13.20304,77.57638
Maragondanahalli,23k,13.03735,77.693
Maragondanahalli,4n3,13.20293,77.5762
Maragondanahalli Cross,553,12.93498,77.4314
Maragondanahalli Cross,5po,12.93484,77.43145
Maralakunte,145,13.1095,77.69316
Maralakunte,2b7,13.13225,77.70593
Maralakunte,5se,13.10939,77.69316
Maralakunte,so,13.13241,77.70526
Maralakunte Colony,28h,13.12943,77.70565
Maralugondla Cross,1z9,12.94747,77.27149
Maralugondla Cross,62k,12.94737,77.27127
Maramma Temple,2mv,12.96291,77.55872
Maramma Temple,4ls,12.96314,77.55906
Maramma Temple Halage Vaderahalli,21l,12.92268,77.51435
Maramma Temple Halage Vaderahalli,5x8,12.92288,77.51452
Maramma Temple Hegganahalli,2tk,12.99462,77.5043
Maranagere,2io,12.88233,77.8522
Maranagere,5ax,12.88227,77.85212
Maranayakanahalli,17a,13.16804,77.64835
Maranayakanahalli,2n3,13.16801,77.64832
Marappa Garden,el,13.00439,77.59974
Marasandra,2fl,13.09967,77.71519
Marasandra,3p7,13.09962,77.71512
Marasandra,il,12.98074,77.87469
